bet_num,matchup,pick,probability,ev,bet_size,won,profit,bankroll
244,ATL @ MIA,ATL,0.56,0.1200000000000001,51.69896578260223,True,51.69896578260223,1774.9978252026751
245,SAS @ CHA,SAS,0.65,0.30000000000000004,133.12483689020064,False,-133.12483689020064,1641.8729883124745
246,CLE @ ATL,CLE,0.65,0.30000000000000004,123.14047412343561,True,123.14047412343561,1765.01346243591
247,PHI @ CHA,PHI,0.65,0.30000000000000004,132.37600968269328,True,132.37600968269328,1897.3894721186034
248,MIL @ DET,MIL,0.65,0.30000000000000004,142.30421040889527,True,142.30421040889527,2039.6936825274986
249,UTA @ HOU,UTA,0.65,0.30000000000000004,152.97702618956242,False,-152.97702618956242,1886.7166563379362
250,DEN @ WAS,DEN,0.5740000000000001,0.14800000000000013,69.8085162845037,True,69.8085162845037,1956.5251726224399
251,MIA @ ORL,MIA,0.5839999999999999,0.1679999999999997,82.17405725014233,False,-82.17405725014233,1874.3511153722975
252,BOS @ HOU,BOS,0.5459999999999999,0.09199999999999986,43.110075653562774,True,43.110075653562774,1917.4611910258602
253,CLE @ ORL,CLE,0.65,0.30000000000000004,143.80958932693954,True,143.80958932693954,2061.2707803527996
254,BOS @ DAL,BOS,0.608,0.21599999999999997,111.30862213905117,True,111.30862213905117,2172.579402491851
255,MIL @ DET,MIL,0.65,0.30000000000000004,162.94345518688885,True,162.94345518688885,2335.52285767874
256,NYK @ BKN,NYK,0.65,0.30000000000000004,175.16421432590553,True,175.16421432590553,2510.6870720046454
257,DEN @ IND,DEN,0.65,0.30000000000000004,188.30153040034844,True,188.30153040034844,2698.988602404994
258,UTA @ NOP,UTA,0.65,0.30000000000000004,202.42414518037455,False,-202.42414518037455,2496.564457224619
259,OKC @ SAS,OKC,0.5859999999999999,0.1719999999999997,107.35227166065845,True,107.35227166065845,2603.9167288852777
260,MEM @ MIA,MEM,0.52,0.040000000000000036,26.039167288852802,True,26.039167288852802,2629.9558961741304
261,POR @ HOU,POR,0.5339999999999999,0.06799999999999984,44.70925023496011,True,44.70925023496011,2674.6651464090905
262,MIN @ WAS,MIN,0.568,0.1359999999999999,90.93861497790901,True,90.93861497790901,2765.6037613869994
263,PHX @ DAL,PHX,0.65,0.30000000000000004,207.42028210402498,True,207.42028210402498,2973.0240434910243
264,MIN @ BKN,MIN,0.65,0.30000000000000004,222.97680326182686,True,222.97680326182686,3196.000846752851
265,BOS @ MIA,BOS,0.65,0.30000000000000004,239.70006350646386,True,239.70006350646386,3435.7009102593147
266,UTA @ WAS,UTA,0.65,0.30000000000000004,257.6775682694486,True,257.6775682694486,3693.3784785287635
267,PHI @ IND,PHI,0.65,0.30000000000000004,277.0033858896573,False,-277.0033858896573,3416.3750926391062
268,POR @ SAS,POR,0.576,0.1519999999999999,129.82225352028595,False,-129.82225352028595,3286.5528391188204
269,LAC @ TOR,LAC,0.65,0.30000000000000004,246.49146293391158,True,246.49146293391158,3533.044302052732
270,PHX @ IND,PHX,0.65,0.30000000000000004,264.97832265395493,False,-264.97832265395493,3268.065979398777
271,LAL @ GSW,LAL,0.5259999999999999,0.051999999999999824,42.484857732183954,True,42.484857732183954,3310.550837130961
272,UTA @ CHA,UTA,0.6359999999999999,0.2719999999999998,225.11745692490518,True,225.11745692490518,3535.668294055866
273,PHI @ DEN,PHI,0.65,0.30000000000000004,265.17512205419,False,-265.17512205419,3270.493172001676
274,HOU @ BKN,HOU,0.6360000000000001,0.27200000000000024,222.39353569611418,False,-222.39353569611418,3048.099636305562
275,SAC @ DAL,SAC,0.538,0.07600000000000007,57.913893089805725,True,57.913893089805725,3106.0135293953676
276,OKC @ DET,OKC,0.65,0.30000000000000004,232.9510147046526,False,-232.9510147046526,2873.062514690715
277,PHX @ ORL,PHX,0.65,0.30000000000000004,215.47968860180367,False,-215.47968860180367,2657.582826088911
278,PHI @ POR,PHI,0.6479999999999999,0.2959999999999998,196.6611291305793,False,-196.6611291305793,2460.9216969583317
279,LAC @ CLE,LAC,0.5640000000000001,0.1280000000000001,78.74949430266669,False,-78.74949430266669,2382.172202655665
280,LAL @ HOU,LAL,0.6119999999999999,0.22399999999999975,133.4016433487171,False,-133.4016433487171,2248.7705593069477
281,PHX @ MIA,PHX,0.65,0.30000000000000004,168.6577919480211,True,168.6577919480211,2417.4283512549687
282,UTA @ BKN,UTA,0.6479999999999999,0.2959999999999998,178.88969799286758,False,-178.88969799286758,2238.538653262101
283,SAC @ MEM,SAC,0.6459999999999999,0.2919999999999998,163.41332168813327,True,163.41332168813327,2401.951974950234
284,NYK @ CHA,NYK,0.65,0.30000000000000004,180.1463981212676,True,180.1463981212676,2582.098373071502
285,MIL @ DEN,MIL,0.65,0.30000000000000004,193.65737798036267,False,-193.65737798036267,2388.4409950911395
286,LAL @ ATL,LAL,0.65,0.30000000000000004,179.13307463183548,False,-179.13307463183548,2209.307920459304
287,MIL @ POR,MIL,0.578,0.15599999999999992,86.16300889791282,False,-86.16300889791282,2123.1449115613914
288,LAC @ WAS,LAC,0.65,0.30000000000000004,159.2358683671044,True,159.2358683671044,2282.380779928496
289,CHI @ CHA,CHI,0.588,0.17599999999999993,100.42475431685378,True,100.42475431685378,2382.80553424535
290,PHX @ BKN,PHX,0.59,0.17999999999999994,107.2262490410407,True,107.2262490410407,2490.0317832863907
291,DAL @ MIN,DAL,0.52,0.040000000000000036,24.90031783286393,False,-24.90031783286393,2465.1314654535267
292,SAC @ MIA,SAC,0.65,0.30000000000000004,184.88485990901452,False,-184.88485990901452,2280.246605544512
293,CLE @ MEM,CLE,0.65,0.30000000000000004,171.01849541583843,True,171.01849541583843,2451.2651009603505
294,LAC @ DET,LAC,0.65,0.30000000000000004,183.8448825720263,True,183.8448825720263,2635.1099835323766
295,GSW @ MEM,GSW,0.65,0.30000000000000004,197.63324876492828,True,197.63324876492828,2832.743232297305
296,POR @ DEN,POR,0.59,0.17999999999999994,127.47344545337869,False,-127.47344545337869,2705.2697868439263
297,BKN @ PHI,BKN,0.54,0.08000000000000007,54.10539573687858,True,54.10539573687858,2759.375182580805
298,CLE @ SAS,CLE,0.6480000000000001,0.29600000000000026,204.19376351097975,True,204.19376351097975,2963.5689460917847
299,SAC @ CHI,SAC,0.6360000000000001,0.27200000000000024,201.52268833424154,True,201.52268833424154,3165.0916344260263
300,LAC @ MIA,LAC,0.65,0.30000000000000004,237.381872581952,True,237.381872581952,3402.4735070079782
301,HOU @ MIN,HOU,0.608,0.21599999999999997,183.7335693784308,False,-183.7335693784308,3218.7399376295475
302,PHX @ WAS,PHX,0.566,0.1319999999999999,106.21841794177499,True,106.21841794177499,3324.9583555713225
303,IND @ CHA,IND,0.65,0.30000000000000004,249.37187666784922,True,249.37187666784922,3574.330232239172
304,DAL @ PHI,DAL,0.598,0.19599999999999995,175.14218137971937,True,175.14218137971937,3749.472413618891
305,LAL @ CHA,LAL,0.65,0.30000000000000004,281.21043102141687,True,281.21043102141687,4030.682844640308
306,ORL @ MIA,ORL,0.65,0.30000000000000004,302.3012133480231,False,-302.3012133480231,3728.3816312922845
307,TOR @ CHA,TOR,0.632,0.264,246.0731876652908,True,246.0731876652908,3974.4548189575753
308,CLE @ WAS,CLE,0.65,0.30000000000000004,298.0841114218182,True,298.0841114218182,4272.538930379394
309,GSW @ PHI,GSW,0.65,0.30000000000000004,320.44041977845455,True,320.44041977845455,4592.979350157848
310,ATL @ BOS,ATL,0.65,0.30000000000000004,344.47345126183865,False,-344.47345126183865,4248.505898896009
311,GSW @ IND,GSW,0.6140000000000001,0.2280000000000002,242.16483623707273,True,242.16483623707273,4490.6707351330815
312,MIN @ MIL,MIN,0.5939999999999999,0.18799999999999972,211.0615245512545,True,211.0615245512545,4701.732259684336
313,CHI @ MEM,CHI,0.65,0.30000000000000004,352.62991947632526,True,352.62991947632526,5054.362179160661
314,CLE @ BKN,CLE,0.64,0.28,353.8053525412463,True,353.8053525412463,5408.167531701907
315,DET @ POR,DET,0.5539999999999999,0.10799999999999987,146.02052335595133,True,146.02052335595133,5554.188055057858
