game_id,game_date,season,home_team,away_team,home_pts,away_pts,home_won,home_fg_pct,away_fg_pct,home_reb,away_reb,home_ast,away_ast,home_tov,away_tov,home_pts_l10,home_opp_pts_l10,home_fg_pct_l10,home_reb_l10,home_ast_l10,home_win_l10,away_pts_l10,away_opp_pts_l10,away_fg_pct_l10,away_reb_l10,away_ast_l10,away_win_l10
0022400139,2024-11-01,2024-25,MIN,DEN,119,116,1,0.518,0.446,38,46,34,30,16,13,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400137,2024-11-01,2024-25,TOR,LAL,125,131,0,0.486,0.477,44,43,35,29,11,10,116.0,124.0,0.47140000000000004,46.6,29.2,0.2,115.8,117.8,0.4812,42.2,26.6,0.6
0022400132,2024-11-01,2024-25,CHA,BOS,109,124,0,0.462,0.477,42,41,20,21,14,10,105.0,105.0,0.45,42.0,24.0,0.5,125.8,114.4,0.4584,43.0,24.0,0.8
0022400140,2024-11-01,2024-25,POR,OKC,114,137,0,0.47,0.537,36,45,27,31,19,13,107.2,112.8,0.4264,46.8,21.6,0.4,105.0,105.0,0.45,42.0,24.0,0.5
0022400138,2024-11-01,2024-25,NOP,IND,125,118,1,0.485,0.517,46,39,28,35,6,14,105.2,113.4,0.4446,43.6,25.0,0.4,115.4,120.2,0.4822,42.0,29.2,0.4
0022400136,2024-11-01,2024-25,BKN,CHI,120,112,1,0.521,0.432,46,44,34,24,10,16,118.0,117.6,0.4628,40.4,26.0,0.4,113.4,116.2,0.43879999999999997,51.6,27.6,0.6
0022400134,2024-11-01,2024-25,DET,NYK,98,128,0,0.506,0.515,38,45,23,31,22,9,106.2,110.6,0.4474,45.4,22.2,0.2,105.0,105.0,0.45,42.0,24.0,0.5
0022400135,2024-11-01,2024-25,ATL,SAC,115,123,0,0.446,0.483,40,51,30,28,13,14,117.6,123.6,0.4640000000000001,42.6,26.8,0.4,105.0,105.0,0.45,42.0,24.0,0.5
0022400142,2024-11-02,2024-25,PHI,MEM,107,124,0,0.404,0.552,33,52,22,35,14,16,105.0,105.0,0.45,42.0,24.0,0.5,118.16666666666667,117.83333333333333,0.4796666666666667,46.666666666666664,30.0,0.5
0022400146,2024-11-02,2024-25,SAS,MIN,113,103,1,0.518,0.476,44,32,32,21,11,12,103.6,105.0,0.4394,48.8,24.4,0.4,113.0,112.4,0.4766,42.0,27.4,0.6
0022400150,2024-11-02,2024-25,LAC,OKC,92,105,0,0.405,0.429,50,41,23,25,20,12,111.6,111.0,0.47040000000000004,48.0,27.4,0.4,117.2,98.6,0.4678,46.4,25.8,1.0
0022400141,2024-11-02,2024-25,CHA,BOS,103,113,0,0.44,0.439,34,44,24,23,13,15,116.6,120.2,0.4506,47.0,22.6,0.4,125.5,113.5,0.46149999999999997,42.666666666666664,23.5,0.8333333333333334
0022400143,2024-11-02,2024-25,TOR,SAC,131,128,1,0.484,0.46,46,49,31,21,19,18,117.5,125.16666666666667,0.47383333333333333,46.166666666666664,30.166666666666668,0.16666666666666666,117.8,111.4,0.48719999999999997,42.0,26.4,0.6
0022400145,2024-11-02,2024-25,MIL,CLE,113,114,0,0.483,0.484,45,45,24,31,13,7,111.0,119.6,0.47139999999999993,43.4,21.8,0.2,124.66666666666667,107.66666666666667,0.5318333333333333,41.5,27.833333333333332,1.0
0022400148,2024-11-02,2024-25,DEN,UTA,129,103,1,0.485,0.416,52,39,33,24,17,22,115.6,118.8,0.4424,47.0,27.8,0.4,99.2,116.4,0.38780000000000003,47.8,21.2,0.0
0022400144,2024-11-02,2024-25,HOU,GSW,121,127,0,0.411,0.513,49,47,27,26,11,14,110.6,106.0,0.409,46.8,20.2,0.6,119.8,99.4,0.4748,48.0,31.6,0.8
0022400149,2024-11-02,2024-25,PHX,POR,103,97,1,0.376,0.333,63,56,29,17,12,6,116.0,112.4,0.4842000000000001,41.6,27.2,0.8,108.33333333333333,116.83333333333333,0.4336666666666667,45.0,22.5,0.3333333333333333
0022400153,2024-11-03,2024-25,DAL,ORL,108,85,1,0.494,0.333,53,43,25,19,18,14,110.8,109.4,0.4412,44.6,24.4,0.6,111.66666666666667,109.83333333333333,0.45083333333333336,44.0,25.666666666666668,0.5
0022400152,2024-11-03,2024-25,NOP,ATL,111,126,0,0.433,0.568,43,41,22,29,18,16,108.5,114.16666666666667,0.4513333333333333,44.0,25.5,0.5,117.16666666666667,123.5,0.4610000000000001,42.166666666666664,27.333333333333332,0.3333333333333333
0022400151,2024-11-03,2024-25,BKN,DET,92,106,0,0.451,0.481,27,47,23,25,13,17,118.33333333333333,116.66666666666667,0.4725,41.333333333333336,27.333333333333332,0.5,104.83333333333333,113.5,0.4571666666666667,44.166666666666664,22.333333333333332,0.16666666666666666
0022400163,2024-11-04,2024-25,OKC,ORL,102,86,1,0.459,0.354,42,41,23,20,15,18,115.16666666666667,97.5,0.4613333333333333,45.5,25.666666666666668,1.0,107.85714285714286,109.57142857142857,0.43400000000000005,43.857142857142854,24.714285714285715,0.42857142857142855
0022400162,2024-11-04,2024-25,MIN,CHA,114,93,1,0.494,0.398,45,38,23,19,15,14,111.33333333333333,112.5,0.4765,40.333333333333336,26.333333333333332,0.5,114.33333333333333,119.0,0.44883333333333336,44.833333333333336,22.833333333333332,0.3333333333333333
0022400165,2024-11-04,2024-25,DAL,IND,127,134,0,0.517,0.568,38,46,29,30,8,9,110.33333333333333,105.33333333333333,0.45,46.0,24.5,0.6666666666666666,115.83333333333333,121.0,0.488,41.5,30.166666666666668,0.3333333333333333
0022400159,2024-11-04,2024-25,MIA,SAC,110,111,0,0.435,0.512,36,39,24,23,10,12,105.0,105.0,0.45,42.0,24.0,0.5,119.5,114.66666666666667,0.48266666666666663,43.166666666666664,25.5,0.5
0022400164,2024-11-04,2024-25,NOP,POR,100,118,0,0.452,0.548,34,38,24,21,12,11,108.85714285714286,115.85714285714286,0.4487142857142857,43.857142857142854,25.0,0.42857142857142855,106.71428571428571,114.85714285714286,0.4192857142857144,46.57142857142857,21.714285714285715,0.2857142857142857
0022400168,2024-11-04,2024-25,LAC,SAS,113,104,1,0.456,0.442,44,45,25,22,10,10,108.33333333333333,110.0,0.4595000000000001,48.333333333333336,26.666666666666668,0.3333333333333333,105.16666666666667,104.66666666666667,0.45249999999999996,48.0,25.666666666666668,0.5
0022400154,2024-11-04,2024-25,CLE,MIL,116,114,1,0.505,0.488,39,49,28,21,10,14,123.14285714285714,108.42857142857143,0.525,42.0,28.285714285714285,1.0,111.33333333333333,118.66666666666667,0.47333333333333333,43.666666666666664,22.166666666666668,0.16666666666666666
0022400160,2024-11-04,2024-25,CHI,UTA,126,135,0,0.474,0.539,36,49,36,35,9,12,113.16666666666667,116.83333333333333,0.43766666666666665,50.333333333333336,27.0,0.5,99.83333333333333,118.5,0.3925,46.333333333333336,21.666666666666668,0.0
0022400167,2024-11-04,2024-25,PHX,PHI,118,116,1,0.512,0.46,43,38,24,27,14,14,113.83333333333333,109.83333333333333,0.4661666666666667,45.166666666666664,27.5,0.8333333333333334,107.2,116.4,0.4102,40.2,18.2,0.2
0022400156,2024-11-04,2024-25,DET,LAL,115,103,1,0.469,0.435,55,37,22,28,12,13,105.0,110.42857142857143,0.4605714285714286,44.57142857142857,22.714285714285715,0.2857142857142857,118.33333333333333,119.0,0.4805,42.333333333333336,27.0,0.6666666666666666
0022400155,2024-11-04,2024-25,WAS,GSW,112,125,0,0.438,0.454,47,56,29,29,9,6,105.0,105.0,0.45,42.0,24.0,0.5,121.0,103.0,0.4811666666666667,47.833333333333336,30.666666666666668,0.8333333333333334
0022400158,2024-11-04,2024-25,BKN,MEM,106,104,1,0.476,0.473,37,44,28,29,13,14,114.57142857142857,115.14285714285714,0.4694285714285714,39.285714285714285,26.714285714285715,0.42857142857142855,119.0,116.28571428571429,0.49000000000000005,47.42857142857143,30.714285714285715,0.5714285714285714
